Counts_,ICD-9 description_,Subgroups_,ICD-9
0,",Pyogenic arthritis, upper arm                                                                                                   ,",,",711.02                                                                                                                          ,"
0,",Pyogenic arthritis, forearm                                                                                                     ,",,",711.03                                                                                                                          ,"
0,",Pyogenic arthritis, hand                                                                                                        ,",,",711.04                                                                                                                          ,"
0,",Pyogenic arthritis, pelvic region and thigh                                                                                     ,",,",711.05                                                                                                                          ,"
0,",Pyogenic arthritis, other specified sites                                                                                       ,",,",711.08                                                                                                                          ,"
0,",Arthropathy associated with Reiter,,s disease and nonspecific urethritis, site unspecified                                       ,",,",711.10                                                                                                                          ,"
0,",Arthropathy associated with Reiter,,s disease and nonspecific urethritis, hand                                                   ,",,",711.14                                                                                                                          ,"
0,",Arthropathy associated with Reiter,,s disease and nonspecific urethritis, lower leg                                              ,",,",711.16                                                                                                                          ,"
0,",Arthropathy associated with Reiter,,s disease and nonspecific urethritis, multiple sites                                         ,",,",711.19                                                                                                                          ,"
0,",Postdysenteric arthropathy, site unspecified                                                                                    ,",,",711.30                                                                                                                          ,"
0,",Postdysenteric arthropathy, ankle and foot                                                                                      ,",,",711.37                                                                                                                          ,"
0,",Arthropathy associated with other bacterial diseases, forearm                                                                   ,",,",711.43                                                                                                                          ,"
0,",Arthropathy associated with other bacterial diseases, ankle and foot                                                            ,",,",711.47                                                                                                                          ,"
0,",Arthropathy associated with other viral diseases, site unspecified                                                              ,",,",711.50                                                                                                                          ,"
0,",Arthropathy associated with other viral diseases, multiple sites                                                                ,",,",711.59                                                                                                                          ,"
0,",Arthropathy associated with mycoses, lower leg                                                                                  ,",,",711.66                                                                                                                          ,"
0,",Arthropathy associated with other infectious and parasitic diseases, site unspecified                                           ,",,",711.80                                                                                                                          ,"
0,",Arthropathy associated with other infectious and parasitic diseases, upper arm                                                  ,",,",711.82                                                                                                                          ,"
0,",Arthropathy associated with other infectious and parasitic diseases, hand                                                       ,",,",711.84                                                                                                                          ,"
0,",Arthropathy associated with other infectious and parasitic diseases, pelvic region and thigh                                    ,",,",711.85                                                                                                                          ,"
0,",Arthropathy associated with other infectious and parasitic diseases, lower leg                                                  ,",,",711.86                                                                                                                          ,"
0,",Arthropathy associated with other infectious and parasitic diseases, multiple sites                                             ,",,",711.89                                                                                                                          ,"
0,",Unspecified infective arthritis, upper arm                                                                                      ,",,",711.92                                                                                                                          ,"
0,",Unspecified infective arthritis, hand                                                                                           ,",,",711.94                                                                                                                          ,"
0,",Unspecified infective arthritis, pelvic region and thigh                                                                        ,",,",711.95                                                                                                                          ,"
0,",Unspecified infective arthritis, lower leg                                                                                      ,",,",711.96                                                                                                                          ,"
0,",Unspecified infective arthritis, ankle and foot                                                                                 ,",,",711.97                                                                                                                          ,"
0,",Unspecified infective arthritis, multiple sites                                                                                 ,",,",711.99                                                                                                                          ,"
0,",Chondrocalcinosis, due to dicalcium phosphate crystals, multiple sites                                                          ,",,",712.19                                                                                                                          ,"
0,",Chondrocalcinosis, due to pyrophosphate crystals, hand                                                                          ,",,",712.24                                                                                                                          ,"
0,",Chondrocalcinosis, due to pyrophosphate crystals, lower leg                                                                     ,",,",712.26                                                                                                                          ,"
0,",Chondrocalcinosis, unspecified, site unspecified                                                                                ,",,",712.30                                                                                                                          ,"
0,",Chondrocalcinosis, unspecified, forearm                                                                                         ,",,",712.33                                                                                                                          ,"
0,",Chondrocalcinosis, unspecified, hand                                                                                            ,",,",712.34                                                                                                                          ,"
0,",Chondrocalcinosis, unspecified, lower leg                                                                                       ,",,",712.36                                                                                                                          ,"
0,",Chondrocalcinosis, unspecified, ankle and foot                                                                                  ,",,",712.37                                                                                                                          ,"
0,",Chondrocalcinosis, unspecified, multiple sites                                                                                  ,",,",712.39                                                                                                                          ,"
0,",Other specified crystal arthropathies, forearm                                                                                  ,",,",712.83                                                                                                                          ,"
0,",Other specified crystal arthropathies, ankle and foot                                                                           ,",,",712.87                                                                                                                          ,"
0,",Unspecified crystal arthropathy, upper arm                                                                                      ,",,",712.92                                                                                                                          ,"
0,",Unspecified crystal arthropathy, lower leg                                                                                      ,",,",712.96                                                                                                                          ,"
0,",Unspecified crystal arthropathy, multiple sites                                                                                 ,",,",712.99                                                                                                                          ,"
0,",Arthropathy associated with gastrointestinal conditions other than infections                                                   ,",,",713.1                                                                                                                           ,"
0,",Arthropathy associated with hematological disorders                                                                             ,",,",713.2                                                                                                                           ,"
0,",Arthropathy associated with neurological disorders                                                                              ,",,",713.5                                                                                                                           ,"
0,",Arthropathy associated with hypersensitivity reaction                                                                           ,",,",713.6                                                                                                                           ,"
0,",Arthropathy associated with other conditions classifiable elsewhere                                                             ,",,",713.8                                                                                                                           ,"
0,",Rheumatoid arthritis                                                                                                            ,",,",714.0                                                                                                                           ,"
0,",Felty,,s syndrome                                                                                                                ,",,",714.1                                                                                                                           ,"
0,",Other rheumatoid arthritis with visceral or systemic involvement                                                                ,",,",714.2                                                                                                                           ,"
0,",Polyarticular juvenile rheumatoid arthritis, chronic or unspecified                                                             ,",,",714.30                                                                                                                          ,"
0,",Polyarticular juvenile rheumatoid arthritis, acute                                                                              ,",,",714.31                                                                                                                          ,"
0,",Pauciarticular juvenile rheumatoid arthritis                                                                                    ,",,",714.32                                                                                                                          ,"
0,",Chronic postrheumatic arthropathy                                                                                               ,",,",714.4                                                                                                                           ,"
0,",Rheumatoid lung                                                                                                                 ,",,",714.81                                                                                                                          ,"
0,",Other specified inflammatory polyarthropathies                                                                                  ,",,",714.89                                                                                                                          ,"
0,",Unspecified inflammatory polyarthropathy                                                                                        ,",,",714.9                                                                                                                           ,"
0,",Osteoarthrosis, generalized, site unspecified                                                                                   ,",,",715.00                                                                                                                          ,"
0,",Osteoarthrosis, generalized, multiple sites                                                                                     ,",,",715.09                                                                                                                          ,"
0,",Osteoarthrosis, localized, primary, shoulder region                                                                             ,",,",715.11                                                                                                                          ,"
0,",Osteoarthrosis, localized, primary, pelvic region and thigh                                                                     ,",,",715.15                                                                                                                          ,"
0,",Osteoarthrosis, localized, primary, lower leg                                                                                   ,",,",715.16                                                                                                                          ,"
0,",Osteoarthrosis, localized, secondary, shoulder region                                                                           ,",,",715.21                                                                                                                          ,"
0,",Osteoarthrosis, localized, secondary, pelvic region and thigh                                                                   ,",,",715.25                                                                                                                          ,"
0,",Osteoarthrosis, localized, secondary, lower leg                                                                                 ,",,",715.26                                                                                                                          ,"
0,",Osteoarthrosis, localized, secondary, ankle and foot                                                                            ,",,",715.27                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified                                         ,",,",715.30                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region                                          ,",,",715.31                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, upper arm                                                ,",,",715.32                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, forearm                                                  ,",,",715.33                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, hand                                                     ,",,",715.34                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh                                  ,",,",715.35                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, lower leg                                                ,",,",715.36                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot                                           ,",,",715.37                                                                                                                          ,"
0,",Osteoarthrosis, localized, not specified whether primary or secondary, other specified sites                                    ,",,",715.38                                                                                                                          ,"
0,",Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, site unspecified             ,",,",715.80                                                                                                                          ,"
0,",Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites               ,",,",715.89                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, site unspecified                                                  ,",,",715.90                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, shoulder region                                                   ,",,",715.91                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, upper arm                                                         ,",,",715.92                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, hand                                                              ,",,",715.94                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, lower leg                                                         ,",,",715.96                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, ankle and foot                                                    ,",,",715.97                                                                                                                          ,"
0,",Osteoarthrosis, unspecified whether generalized or localized, other specified sites                                             ,",,",715.98                                                                                                                          ,"
0,",Traumatic arthropathy, shoulder region                                                                                          ,",,",716.11                                                                                                                          ,"
0,",Traumatic arthropathy, hand                                                                                                     ,",,",716.14                                                                                                                          ,"
0,",Traumatic arthropathy, pelvic region and thigh                                                                                  ,",,",716.15                                                                                                                          ,"
0,",Traumatic arthropathy, lower leg                                                                                                ,",,",716.16                                                                                                                          ,"
0,",Traumatic arthropathy, ankle and foot                                                                                           ,",,",716.17                                                                                                                          ,"
0,",Traumatic arthropathy, other specified sites                                                                                    ,",,",716.18                                                                                                                          ,"
0,",Traumatic arthropathy, multiple sites                                                                                           ,",,",716.19                                                                                                                          ,"
0,",Climacteric arthritis, multiple sites                                                                                           ,",,",716.39                                                                                                                          ,"
0,",Transient arthropathy, shoulder region                                                                                          ,",,",716.41                                                                                                                          ,"
0,",Transient arthropathy, pelvic region and thigh                                                                                  ,",,",716.45                                                                                                                          ,"
0,",Unspecified polyarthropathy or polyarthritis, site unspecified                                                                  ,",,",716.50                                                                                                                          ,"
0,",Unspecified polyarthropathy or polyarthritis, upper arm                                                                         ,",,",716.52                                                                                                                          ,"
0,",Unspecified polyarthropathy or polyarthritis, hand                                                                              ,",,",716.54                                                                                                                          ,"
0,",Unspecified polyarthropathy or polyarthritis, other specified sites                                                             ,",,",716.58                                                                                                                          ,"
0,",Unspecified polyarthropathy or polyarthritis, multiple sites                                                                    ,",,",716.59                                                                                                                          ,"
0,",Unspecified monoarthritis, forearm                                                                                              ,",,",716.63                                                                                                                          ,"
0,",Unspecified monoarthritis, lower leg                                                                                            ,",,",716.66                                                                                                                          ,"
0,",Other specified arthropathy, site unspecified                                                                                   ,",,",716.80                                                                                                                          ,"
0,",Other specified arthropathy, shoulder region                                                                                    ,",,",716.81                                                                                                                          ,"
0,",Other specified arthropathy, upper arm                                                                                          ,",,",716.82                                                                                                                          ,"
0,",Other specified arthropathy, lower leg                                                                                          ,",,",716.86                                                                                                                          ,"
0,",Other specified arthropathy, multiple sites                                                                                     ,",,",716.89                                                                                                                          ,"
0,",Arthropathy, unspecified, site unspecified                                                                                      ,",,",716.90                                                                                                                          ,"
0,",Arthropathy, unspecified, shoulder region                                                                                       ,",,",716.91                                                                                                                          ,"
0,",Arthropathy, unspecified, upper arm                                                                                             ,",,",716.92                                                                                                                          ,"
0,",Arthropathy, unspecified, forearm                                                                                               ,",,",716.93                                                                                                                          ,"
0,",Arthropathy, unspecified, hand                                                                                                  ,",,",716.94                                                                                                                          ,"
0,",Arthropathy, unspecified, pelvic region and thigh                                                                               ,",,",716.95                                                                                                                          ,"
0,",Arthropathy, unspecified, lower leg                                                                                             ,",,",716.96                                                                                                                          ,"
0,",Arthropathy, unspecified, ankle and foot                                                                                        ,",,",716.97                                                                                                                          ,"
0,",Arthropathy, unspecified, other specified sites                                                                                 ,",,",716.98                                                                                                                          ,"
0,",Arthropathy, unspecified, multiple sites                                                                                        ,",,",716.99                                                                                                                          ,"
0,",Old bucket handle tear of medial meniscus                                                                                       ,",,",717.0                                                                                                                           ,"
0,",Derangement of posterior horn of medial meniscus                                                                                ,",,",717.2                                                                                                                           ,"
0,",Other and unspecified derangement of medial meniscus                                                                            ,",,",717.3                                                                                                                           ,"
0,",Bucket handle tear of lateral meniscus                                                                                          ,",,",717.41                                                                                                                          ,"
0,",Derangement of posterior horn of lateral meniscus                                                                               ,",,",717.43                                                                                                                          ,"
0,",Other derangement of lateral meniscus                                                                                           ,",,",717.49                                                                                                                          ,"
0,",Derangement of meniscus, not elsewhere classified                                                                               ,",,",717.5                                                                                                                           ,"
0,",Loose body in knee                                                                                                              ,",,",717.6                                                                                                                           ,"
0,",Chondromalacia of patella                                                                                                       ,",,",717.7                                                                                                                           ,"
0,",Old disruption of lateral collateral ligament                                                                                   ,",,",717.81                                                                                                                          ,"
0,",Old disruption of medial collateral ligament                                                                                    ,",,",717.82                                                                                                                          ,"
0,",Old disruption of anterior cruciate ligament                                                                                    ,",,",717.83                                                                                                                          ,"
0,",Old disruption of posterior cruciate ligament                                                                                   ,",,",717.84                                                                                                                          ,"
0,",Old disruption of other ligaments of knee                                                                                       ,",,",717.85                                                                                                                          ,"
0,",Other internal derangement of knee                                                                                              ,",,",717.89                                                                                                                          ,"
0,",Unspecified internal derangement of knee                                                                                        ,",,",717.9                                                                                                                           ,"
0,",Articular cartilage disorder, forearm                                                                                           ,",,",718.03                                                                                                                          ,"
0,",Articular cartilage disorder, pelvic region and thigh                                                                           ,",,",718.05                                                                                                                          ,"
0,",Articular cartilage disorder, ankle and foot                                                                                    ,",,",718.07                                                                                                                          ,"
0,",Loose body in joint, hand                                                                                                       ,",,",718.14                                                                                                                          ,"
0,",Loose body in joint, pelvic region and thigh                                                                                    ,",,",718.15                                                                                                                          ,"
0,",Loose body in joint, ankle and foot                                                                                             ,",,",718.17                                                                                                                          ,"
0,",Pathological dislocation of joint, pelvic region and thigh                                                                      ,",,",718.25                                                                                                                          ,"
0,",Pathological dislocation of joint, lower leg                                                                                    ,",,",718.26                                                                                                                          ,"
0,",Pathological dislocation of joint, ankle and foot                                                                               ,",,",718.27                                                                                                                          ,"
0,",Recurrent dislocation of joint, shoulder region                                                                                 ,",,",718.31                                                                                                                          ,"
0,",Recurrent dislocation of joint, hand                                                                                            ,",,",718.34                                                                                                                          ,"
0,",Recurrent dislocation of joint, pelvic region and thigh                                                                         ,",,",718.35                                                                                                                          ,"
0,",Recurrent dislocation of joint, lower leg                                                                                       ,",,",718.36                                                                                                                          ,"
0,",Recurrent dislocation of joint, ankle and foot                                                                                  ,",,",718.37                                                                                                                          ,"
0,",Contracture of joint, site unspecified                                                                                          ,",,",718.40                                                                                                                          ,"
0,",Contracture of joint, shoulder region                                                                                           ,",,",718.41                                                                                                                          ,"
0,",Contracture of joint, upper arm                                                                                                 ,",,",718.42                                                                                                                          ,"
0,",Contracture of joint, forearm                                                                                                   ,",,",718.43                                                                                                                          ,"
0,",Contracture of joint, hand                                                                                                      ,",,",718.44                                                                                                                          ,"
0,",Contracture of joint, pelvic region and thigh                                                                                   ,",,",718.45                                                                                                                          ,"
0,",Contracture of joint, lower leg                                                                                                 ,",,",718.46                                                                                                                          ,"
0,",Contracture of joint, ankle and foot                                                                                            ,",,",718.47                                                                                                                          ,"
0,",Contracture of joint, other specified sites                                                                                     ,",,",718.48                                                                                                                          ,"
0,",Contracture of joint, multiple sites                                                                                            ,",,",718.49                                                                                                                          ,"
0,",Ankylosis of joint, site unspecified                                                                                            ,",,",718.50                                                                                                                          ,"
0,",Ankylosis of joint, shoulder region                                                                                             ,",,",718.51                                                                                                                          ,"
0,",Ankylosis of joint, upper arm                                                                                                   ,",,",718.52                                                                                                                          ,"
0,",Ankylosis of joint, lower leg                                                                                                   ,",,",718.56                                                                                                                          ,"
0,",Ankylosis of joint, ankle and foot                                                                                              ,",,",718.57                                                                                                                          ,"
0,",Ankylosis of joint, multiple sites                                                                                              ,",,",718.59                                                                                                                          ,"
0,",Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh                                                       ,",,",718.65                                                                                                                          ,"
0,",Developmental dislocation of joint, shoulder region                                                                             ,",,",718.71                                                                                                                          ,"
0,",Developmental dislocation of joint, pelvic region and thigh                                                                     ,",,",718.75                                                                                                                          ,"
0,",Developmental dislocation of joint, lower leg                                                                                   ,",,",718.76                                                                                                                          ,"
0,",Other joint derangement, not elsewhere classified, shoulder region                                                              ,",,",718.81                                                                                                                          ,"
